time,rssi,snr
1588801340.98825,-107,-10.5
1584658133.85489,-116,-17.2
1588751494.38389,-115,-10.8
1588661003.3261,-115,-9.5
1584469943.74945,-117,-17
1588798598.45988,-107,-15.8
1586343796.67882,-119,-16
1586227992.01343,-117,-16
1588757598.14583,-114,-14
1588753940.09007,-117,-10.8
1588723734.53335,-117,-10.8
1588785464.53278,-120,-17.8
1586486808.17187,-117,-16.2
1588775063.64162,-117,-9.2
1584423824.36839,-117,-14.5
1588692842.19422,-117,-14.2
1588057367.68594,-117,-14.5
1583310357.47839,-103,-13.2
1586311136.01698,-106,-17.2
1588676319.52746,-110,-13.5
1587592421.06642,-114,-15.2
1586749229.67349,-117,-16
1586199340.05458,-110,-17.8
1588637064.47801,-116,-14.5
1588668358.60837,-117,-11.2
1588692224.24755,-115,-15.5
1586854630.17463,-119,-18
1588778739.59134,-109,-11.8
1588801949.0595,-114,-13.5
1588742948.59546,-115,-11.8
1588815694.6519,-115,-15.2
1588642894.68611,-117,-13.5
1588604877.54618,-117,-9
1588723121.0767,-96,-10.5
1588858393.46125,-116,-10.2
1584461184.98804,-117,-16.2
1587284128.13277,-121,-17.2
1588633081.1632,-116,-14.5
1586222968.85583,-115,-16
1584394774.22395,-119,-16.5
1584494502.84109,-119,-17
1588612830.21207,-117,-7
1588588330.8447,-107,-12.2
1588769837.20669,-103,-12.5
1588725261.2154,-116,-12.5
1587274873.1261,-125,-18.5
1587570809.57113,-117,-17
1586251391.91569,-121,-16.8
1587313643.46909,-122,-16.5
1588804399.5437,-116,-13
1587359688.37542,-120,-17.5
1588684361.19762,-109,-13.8
1588776902.32345,-116,-14
1587080607.26583,-116,-19
1583313120.22217,-101,-14.5
1588611000.3943,-116,-11.8
1588833994.82255,-109,-13.8
1588816611.68665,-117,-9.5
1588757898.76875,-114,-13
1588053500.15001,-110,-17.8
1588716403.38861,-108,-14
1588742948.59546,-115,-11.8
1586135422.20266,-117,-15.5
1587322914.05486,-111,-13.8
1588746307.54578,-115,-14.2
1586727861.87186,-117,-15.2
1588678462.69964,-113,-11
1586553677.03982,-119,-16.2
1586152562.64327,-117,-16.8
1588741122.83837,-121,-17.8
1588577266.84036,-111,-14.5
1588753018.55321,-117,-9
1584168618.82054,-119,-15
1588821801.68614,-105,-13.2
1587421386.86776,-122,-14.8
1584643059.64522,-119,-15.5
1588795543.72304,-112,-17
1587522534.35333,-116,-17.2
1584788621.12956,-118,-18.2
1588679382.16346,-111,-11.5
1588697118.10508,-113,-13.2
1588809073.96295,-116,-10.2
1588729229.55772,-102,-12
1588776601.67954,-108,-12.2
1588746007.28703,-111,-12.8
1584737234.30374,-115,-16
1586213156.4239,-115,-16.5
1583398577.25184,-95,-17.5
1586979206.28111,-115,-15.5
1588614056.32779,-113,-10.5
1588638680.24169,-119,-11.8
1586104403.68334,-116,-15.8
1588737460.22165,-117,-8.8
1586136670.63219,-116,-16.8
1588616806.84892,-111,-11
1586591591.81982,-117,-17.5
1588787005.56447,-119,-11.5
1588800432.25954,-115,-11
