time,rssi,snr
1584235011.39787,-89,6
1584237460.32177,-116,-12
1584238926.13561,-89,5
1584240564.02469,-89,6.5
1584241545.58589,-86,6.5
1584243181.52095,-86,7.8
1584244980.32895,-88,-13.2
1584246616.89462,-86,7.8
1584248253.29807,-85,6.8
1584249889.3553,-86,7.8
1584251525.28571,-86,9.2
1584253153.29146,-86,8.2
1584254789.22913,-86,7.8
1584256425.1626,-86,6.5
1584258063.04891,-81,6.2
1584259698.98391,-86,6.5
1584261341.93996,-86,7.2
1584262976.09055,-83,-7
1584264770.62174,-86,9.8
1584266570.29406,-86,6.5
1584268206.22953,-86,8.2
1584269844.11434,-86,8.5
1584271480.05146,-90,6.5
1584273123.00803,-87,6.8
1584274758.94332,-85,6.5
1584276401.91108,-89,5
1584278037.84316,-88,8
1584279673.77862,-82,8.8
1584281316.73958,-91,6
1584282952.67528,-90,9.2
1584284595.63181,-85,7.2
1584326515.67077,-87,8
1584328151.60324,-87,8
1584329787.53925,-87,5.2
1584331430.59536,-79,3.2
1584333066.27141,-87,5
1584334709.23249,-87,7.5
1584336345.1685,-88,7.5
1584337988.12625,-89,9
1584339624.06011,-91,4.2
1584341259.99613,-89,3.2
1584342902.96075,-91,0.2
1584344538.89649,-89,6.5
1584346181.96278,-89,7
1584347817.79571,-92,5
1584349460.15012,-79,-2.2
1584351096.71371,-87,9
1584352732.65107,-88,8.5
1584354374.98081,-95,0.2
1584356011.54775,-93,-3
1584357654.50763,-93,7.5
1584359289.81381,-94,-4.8
1584360909.79464,-103,5.2
1584362549.30185,-97,2.5
1584364185.23622,-92,8.8
1584365828.19815,-94,10.5
1584367464.13416,-94,7.5
1584369107.10669,-99,2.8
1584370743.03892,-94,7.8
1584399735.69662,-91,9.5
1584401371.63133,-90,8
1584403007.66957,-85,-3
1584404650.55258,-91,8.5
1584405959.30032,-91,9.8
1584407602.27378,-93,8.8
1584409238.20867,-90,9.2
1584410881.17843,-90,7.8
1584412517.11278,-92,9.8
1584413989.45573,-90,7.5
1584415632.42306,-90,8.2
1584417104.76558,-93,9.5
1584418747.739,-91,5.5
1584420376.59611,-88,8
1584422012.53191,-95,8.8
1584423640.53107,-92,7
1584425276.46734,-86,8
1584426912.87904,-91,2
1584428548.95689,-93,2.2
1584430184.89302,-91,5
1584431822.77153,-92,7.5
1584433458.70851,-88,8.5
1584435101.68607,-88,10
1584436729.52682,-84,2.2
1584438365.46315,-89,4.5
1584440002.01022,-88,9
1584441637.94656,-90,9
1584443275.85293,-97,7.8
1584445075.22775,-93,2.2
1584446718.20909,-90,9.8
1584448354.14474,-93,4.5
1584449990.18344,-102,2.5
1584451633.153,-96,0.2
1584453268.98828,-95,2.8
1584454911.9552,-93,4.5
1584456547.9592,-94,-7.5
1584486161.82436,-92,7.8
1584487797.759,-89,5.8
1584489433.79683,-83,4.2
1584491076.01563,-89,-0.8
1584492712.58285,-90,7.8
1584494355.5343,-91,9.8
1584495991.47054,-90,6.8
1584497634.42728,-91,5.5
1584499270.36276,-88,11.2
1584500905.66798,-90,3
1584502549.26029,-83,3.8
1584504185.19412,-90,10.8
1584505828.15557,-90,9.5
1584507464.0914,-87,6.2
1584509107.04696,-87,8.2
1584510742.98358,-89,8.8
1584512378.92,-90,9.5
1584514021.24098,-89,-0.2
1584515657.80795,-90,7.5
1584517300.76606,-91,8.2
1584518936.70153,-92,7
1584520579.75068,-87,1.5
1584522379.1211,-95,0
1584524021.3491,-86,-0.5
1584525657.91576,-93,4.5
1584527285.31544,-99,5
1584528921.8582,-103,8.8
1584530714.83382,-91,6.2
1584532507.63612,-97,4.5
1584534143.71195,-97,9
1584535779.64886,-93,8.8
1584537417.52574,-99,6.8
1584539053.46172,-103,7.2
1584540860.00829,-92,4
1584542495.94509,-95,1.5
1584544138.9633,-87,-9.8
1584585702.94305,-90,7.8
1584587338.24333,-85,-1.8
1584588975.41523,-86,7
1584590610.72061,-84,-0.8
1584592249.2985,-80,-9.2
1584593885.16817,-86,5.8
1584595528.11781,-91,8.2
1584597164.05212,-92,8.8
1584598799.98799,-93,6
1584600442.93733,-97,5.2
1584602078.87285,-93,2.2
1584603721.82154,-92,2.2
1584605357.75956,-95,8.2
1584607000.49833,-76,-11.5
1584608636.64928,-93,6.5
1584610272.58659,-93,6.2
1584611915.5492,-92,5.2
1584613551.48444,-91,5
1584615194.44842,-93,3.2
1584616995.5335,-95,5.8
1584619285.4661,-82,5
1584621581.4403,-91,1.2
1584623221.06469,-98,8.8
1584624857.10384,-91,4
1584626499.32314,-94,-4.8
1584628135.26032,-102,3
1584629778.84806,-93,8.5
1584631414.88585,-95,3.8
1584658938.46158,-91,-3.2
1584660575.6431,-87,8
1584662211.57781,-92,5.8
1584663847.51351,-88,7.2
1584665485.40066,-88,6.8
1584667121.33528,-90,8.2
1584668764.3049,-92,5.2
1584670400.24093,-90,9.8
1584672043.20188,-87,8.2
1584673679.13697,-91,9.5
1584675322.09963,-91,4
1584676958.03441,-89,9.8
1584678593.97034,-89,8.8
1584680236.91094,-91,6.8
1584681872.84609,-88,9.2
1584683515.80254,-90,8.2
1584685151.7392,-93,3.5
1584686794.68001,-92,2.2
1584688430.61537,-93,6
1584690066.54749,-98,7
1584691709.50829,-90,3.8
1584693345.44475,-91,8.5
1584694988.40502,-103,4.8
1584696623.71194,-102,0.5
1584698267.29224,-93,8.8
1584699903.33242,-103,2.2
1584701539.16505,-96,5
1584703181.49177,-89,-3.2
1584704818.0586,-95,10
1584706461.01235,-95,4
1584708096.94429,-90,5
1584709739.90558,-92,8.5
1584711375.84264,-99,7.8
1584713018.1743,-97,3.2
1584714654.73946,-90,7.2
1584716290.77949,-103,7.2
1584745274.35529,-88,6.8
1584746910.29065,-90,7
1584748537.0579,-84,-0.5
1584750173.62077,-90,5.8
1584751809.55625,-91,8
1584753452.52576,-89,5.8
1584755088.46069,-88,6.2
1584756731.43438,-90,8.2
1584758367.36955,-89,4.5
1584760010.442,-97,4.8
1584761802.77363,-85,7.5
1584763439.17434,-85,8.2
1584765075.24745,-86,7.5
1584766711.18259,-84,8.2
1584768349.07241,-85,7.8
1584769985.00687,-87,8.2
1584771627.97347,-89,9.5
1584773263.90833,-98,7.5
1584775056.79053,-95,7.8
1584776692.70425,-80,-6.2
1584778329.27114,-95,6.8
1584779967.16407,-92,7
1584781603.10052,-91,8
1584783239.03671,-93,6
1584785038.62231,-100,5
1584786673.82493,-96,-11.2
1584788311.01301,-93,7.8
1584789946.95001,-97,1.2
1584791584.94976,-94,7
1584793220.88671,-94,7
1584794856.71875,-96,7.8
1584796499.06525,-96,-1.2
1584798135.63191,-92,6
1584799671.93717,-96,7.8
1584801208.02121,-98,4.2
1584802744.26111,-80,-8.8
1584831636.57356,-84,7.8
1584833179.39805,-85,9.2
1584834715.45108,-86,7.5
1584836251.62938,-85,9
1584837787.43912,-84,8.5
1584839323.60231,-84,7.2
1584840859.87685,-86,8.8
1584842396.06458,-84,7.8
1584843932.22017,-83,9.2
1584845468.03559,-85,6.2
1584847011.20809,-85,8.5
1584848547.02845,-85,9.8
1584850246.53075,-78,7
1584851782.59195,-85,7.5
1584853318.76006,-93,8.8
1584854856.49621,-85,8.2
1584856392.56506,-87,8.5
1584857928.37727,-86,5.8
1584859464.54515,-93,6.2
1584861000.72603,-85,9.2
1584862537.01176,-85,7.2
1584864073.19651,-93,6.8
1584865609.01622,-87,7.5
1584867145.17895,-87,6.5
1584868681.41747,-91,-13.2
1584870224.17585,-93,7.5
1584871760.22958,-86,8.8
1584873296.4014,-91,6.5
1584874832.56868,-91,7
1584876368.38947,-87,9
1584877904.70811,-89,8.5
1584879440.85187,-86,8.8
1584880977.0141,-86,7.8
1584882679.91072,-99,8.5
1584884216.3513,-99,7.2
1584885757.87115,-91,7.5
1584918037.19977,-86,6.2
1584919573.16185,-75,-16.8
1584921109.65826,-86,7
1584922645.8539,-88,8.2
1584924182.00353,-86,5.5
1584925717.82042,-86,7.5
1584927261.01178,-86,8.2
1584928796.81573,-86,6
1584930332.87751,-87,8.5
1584931869.06176,-86,8
1584933405.22523,-103,7
1584934941.50888,-92,8.8
1584936477.31851,-84,3.8
1584938022.92304,-93,-12.5
1584939557.92934,-85,-1
1584940941.79651,-89,7.8
1584942477.96397,-89,8.2
1584944166.99269,-88,-5.2
1584945703.80702,-90,6.5
1584947240.09953,-102,6.2
1584948776.17449,-92,6.8
1584950311.85124,-94,-9.8
1584951848.65398,-99,8
1584953384.83557,-84,-0.2
1584954920.99338,-90,9.8
1584956463.82726,-97,5
1584958009.49944,-99,6.8
1584959545.58479,-97,6
1584961081.7705,-93,7
1584962623.41478,-88,4.5
1584964324.03963,-92,3.8
1584965859.85193,-90,9
1584967395.94619,-92,9.8
1584968932.11044,-90,7.8
1584970468.29807,-86,1.5
1584972004.93337,-93,-2
1585004454.2338,-88,8.8
1585005990.39724,-88,10.8
1585007526.56746,-80,7
1585009062.86084,-85,8
1585010598.66831,-85,6
1585012134.82963,-86,8
1585013671.02044,-85,6.5
1585015207.17616,-86,6.2
1585016749.98729,-97,6.5
1585018286.04578,-92,8.5
1585019822.20733,-88,7.2
1585021358.1194,-105,6.5
1585023057.64468,-87,6.2
1585024595.28351,-89,11
1585026131.3616,-87,4.5
1585027667.53617,-91,7
1585029203.70821,-77,2.8
1585030739.62751,-83,5.2
1585241354.89375,-86,8.8
1585242890.92134,-82,7.8
1585244427.10604,-83,7
1585245963.30211,-87,7
1585247506.11978,-84,7.8
1585249042.15222,-82,9
1585250577.93032,-84,9.2
1585252114.13327,-83,10.2
1585253816.84007,-82,9.2
1585255352.86873,-83,6.5
1585256888.90138,-81,7.5
1585258425.08088,-80,6.5
1585259961.26713,-81,8
1585261497.4565,-81,7.8
1585263033.71222,-81,8.5
1585264569.88327,-79,7
1585266106.07577,-81,7.2
1585267641.85885,-80,6.8
1585269185.07935,-80,7.5
1585270720.86269,-81,6.8
1585272256.89454,-80,6.5
1585273793.0791,-80,7.5
1585275495.77888,-81,8.2
1585277031.79817,-80,7.5
1585278567.82011,-77,6.8
1585280104.01875,-87,7.8
1585281640.20498,-87,7.5
1585283175.98225,-81,8.2
1585284712.64114,-81,7.5
1585286248.83322,-83,8
1585287784.61292,-76,7.5
1585289320.79548,-86,7.2
1585290856.99676,-89,8.2
1585292399.91252,-103,3
1585294102.36022,-87,9.2
1585295638.39411,-89,9.2
1585297174.58259,-89,10.2
1585298710.7548,-87,9.8
1585300246.89768,-96,0
1585301782.99546,-84,9.2
1585303318.77321,-83,12
1585304854.979,-91,10.8
1585306391.63148,-99,8.2
1585307927.41323,-91,8.5
1585309463.58701,-103,8.5
1585310998.15743,-84,-5.5
1585312535.9677,-93,7
1585314171.89261,-89,9.2
1585315807.80727,-91,7.8
1585317117.14222,-86,6.2
1585319283.18435,-119,-11
1585351038.55795,-83,7.5
1585352674.47174,-83,7.8
1585354310.38346,-81,7.5
1585355953.32358,-85,8.5
1585357589.2384,-85,7
1585359232.18656,-80,7
1585360868.10569,-80,7.8
1585362511.05912,-85,8.5
1585364146.97376,-83,4.8
1585365789.91589,-80,6.8
1585367425.83348,-85,6
1585369061.75088,-83,7.2
1585370704.72899,-81,8.5
1585372340.013,-84,-7.8
1585373983.59292,-87,8.5
1585375619.50747,-84,9.8
1585377262.55547,-89,1.2
1585378898.37513,-84,9.8
1585380534.28649,-85,8.5
1585382177.23239,-84,9
1585383813.15278,-91,7.8
1585385606.19785,-91,8.5
1585387242.12219,-86,9.8
1585388878.04238,-88,7.2
1585390515.9031,-84,9
1585392151.82238,-87,9.5
1585393755.05265,-93,7.5
1585395297.81356,-93,8
1585396833.85344,-93,8
1585398369.82901,-78,-4.8
1585399906.23215,-89,10.2
1585401442.032,-91,10.2
1585402978.32275,-84,7.5
1585404514.48393,-83,10.5
1585406050.67651,-84,8.8
1585407586.84038,-83,8
1585437407.78505,-80,6.8
1585438943.6026,-81,9
1585440646.17811,-81,9.8
1585442181.98934,-81,8.5
1585443718.05854,-87,7.8
1585445254.23222,-83,7.5
1585446790.40918,-79,3.2
1585448326.49316,-87,7.5
1585449862.30825,-83,7.2
1585451398.49294,-81,7.2
1585452935.12832,-83,6.8
1585454471.3141,-81,7.5
1585456018.91403,-80,8.5
1585457554.72499,-87,9
1585459090.77648,-76,6.5
1585460627.06045,-82,6.2
1585462163.26127,-85,9
1585463699.08008,-87,7.2
1585465235.2437,-80,8.5
1585466771.44212,-83,7.5
1585468314.28277,-87,8.2
1585469850.33673,-83,8.5
1585471386.63485,-82,2.8
1585472922.72568,-85,7.8
1585474458.54056,-78,8.8
1585475994.82837,-80,9.2
1585477531.35572,-85,8.8
1585479067.41702,-77,9.8
1585480603.61379,-83,9
1585482146.44768,-80,5.2
1585483848.77411,-81,8.8
1585485384.84209,-80,8.2
1585486921.01586,-80,8.2
1585488457.21176,-81,7.5
1585489993.49888,-81,7.8
1585491529.69302,-81,8.8
1585523814.23358,-89,7
1585525350.40943,-89,7.8
1585526893.24224,-93,6.2
1585528429.30724,-91,7.5
1585529965.4657,-81,0.8
1585531501.27714,-93,8.2
1585533037.44633,-82,6.5
1585534573.74469,-83,8.2
1585536276.52867,-85,7.5
1585537812.56553,-81,6.2
1585539348.73376,-81,8.2
1585540884.90432,-91,8.2
1585542421.18679,-91,7
1585543957.37149,-81,8
1585545493.51861,-85,7.5
1585547029.70293,-87,8.8
1585548586.20321,-83,8
1585550122.01651,-86,9.8
1585551663.44843,-87,9
1585553360.85578,-85,8.8
1585554896.90952,-83,8.8
1585556433.08942,-90,6.8
1585557969.15722,-83,6.2
1585559505.34561,-85,11
1585561041.15765,-81,8.2
1585562577.32866,-81,7.2
1585564121.44963,-86,-1.5
1585565658.14713,-81,2.8
1585567193.96114,-82,9.8
1585568730.14507,-81,6.8
1585570432.83966,-86,10.5
1585571968.90881,-85,9.2
1585573505.00377,-83,10
1585575041.17172,-86,8.2
1585576577.36453,-85,9
1585578113.55925,-82,10
1585606545.22689,-86,7
1585608081.50864,-77,7
1585609617.68242,-84,7.8
1585611153.49648,-91,8.5
1585612689.67611,-80,8.5
1585614225.85227,-83,8.5
1585615768.67284,-89,9.5
1585617304.7294,-79,9.2
1585618840.88099,-80,7
1585620377.05193,-86,7.5
1585621912.86495,-85,8.2
1585623449.14549,-85,8.8
1585624985.32906,-86,7
1585626521.48553,-79,9.5
1585628057.65289,-85,8
1585629600.48102,-97,8.8
1585631159.90915,-90,9
1585632839.10958,-81,8.8
1585634375.28992,-89,9.2
1585635911.46296,-83,9
1585637447.28194,-83,8
1585638983.34236,-82,9.5
1585640682.96515,-81,9.2
1585642219.0198,-81,8
1585643754.83712,-82,8
1585645291.01934,-82,8.2
1585646827.07895,-82,7.2
1585648363.25104,-82,9
1585649899.43538,-82,8.2
1585651435.59246,-81,7.2
1585652971.86995,-81,8.2
1585654508.05406,-83,9.8
1585656044.25018,-81,8.8
1585657580.43112,-81,8.8
1585659123.26358,-83,9
1585660659.35035,-82,7.2
1585692930.86185,-91,7.2
1585694467.02207,-85,6
1585696003.30456,-78,6.2
1585697539.49302,-87,7.2
1585699075.63901,-84,8.8
1585700611.80125,-77,7.2
1585702154.62707,-76,8
1585703690.4385,-86,8.5
1585705226.47539,-77,6.8
1585706762.02102,-86,-9.5
1585708298.82594,-93,6.5
1585709835.11242,-91,7
1585711371.26951,-83,8.2
1585712907.08848,-81,7.5
1585714443.25891,-93,7.2
1585715979.42671,-77,8.8
1585717522.25918,-81,7.8
1585719058.30133,-81,8
1585720594.47157,-81,6
1585722130.65246,-80,10
1585723666.47213,-82,8.2
1585725202.77213,-81,8.8
1585726738.9281,-81,10.2
1585728274.47812,-79,-8.8
1585729811.28537,-82,8.2
1585731354.11293,-81,5.8
1585732890.16597,-82,8
1585734425.9862,-83,8.5
1585735962.1581,-82,7.5
1585737498.68645,-81,11.5
1585739034.96155,-82,10.2
1585740571.12937,-82,6.5
1585742107.30022,-82,10.5
1585743643.11746,-82,7.2
1585745186.28054,-82,9.2
1585746722.08638,-81,9.5
1587973968.8958,-89,10
1587975504.96038,-84,10.2
1587977041.11685,-89,9.8
1587978576.93172,-85,8.8
1587980120.11869,-84,10
1587981657.67147,-85,8.5
1587983359.99766,-91,8.8
1587984896.05641,-86,9.2
1587986432.23271,-91,7.8
1587987968.04822,-85,7.8
1587989504.32768,-86,8.2
1587991040.52004,-91,9
1587992576.70195,-81,10.5
1587994112.87116,-81,9.2
1587995655.6999,-81,7.2
1587997191.7659,-82,10.2
1587998727.5816,-81,8
1588000263.74256,-81,9
1588001799.91057,-75,10
1588003336.19828,-81,8.2
1588004872.3659,-81,10.2
1588006408.53324,-81,8.2
1588007944.35087,-81,7.5
1588009488.86178,-81,8.2
1588011024.67171,-80,8.5
1588012560.73324,-81,9
1588014096.89031,-84,9.5
1588015633.04956,-83,7.2
1588017169.33447,-84,7.8
1588017937.2429,-81,9.5
1588018705.15283,-81,10.2
1588019473.4073,-83,10
1588020241.31289,-82,9.2
1588021009.57499,-84,9.5
1588021777.47943,-82,9.8
1588022545.38361,-86,9.2
1588023313.63583,-83,9.2
1588024088.55178,-83,8.5
1588024856.4577,-81,8.8
1588025624.36882,-81,7.8
1588026392.52099,-81,9.2
1588027160.42951,-82,8.8
1588027928.67483,-82,9
1588028696.582,-82,9
1588029464.49186,-81,10.5
1588030282.46081,-82,7.8
1588031100.42821,-89,9.8
1588031918.39626,-83,10.5
1588032736.36365,-99,-2.2
1588033390.73809,-97,8.5
1588034045.112,-85,11
1588034863.08004,-82,11.8
1588035681.04809,-83,10.2
1588036506.01651,-82,10
1588037323.98448,-87,-10
1588038141.9529,-89,8.2
1588038959.92106,-82,8.8
1588039777.88855,-81,9.8
1588040602.85707,-84,9.5
1588041420.82479,-81,9
1588042238.79299,-87,8
1588043056.75764,-85,7.5
1588043874.72463,-99,9.8
1588044699.71881,-84,10
1588045517.6855,-89,8.8
1588046335.65419,-84,8.5
1588047153.62198,-90,9.2
1588047978.59866,-83,9.8
1588048796.56671,-89,8
1588049614.53428,-82,9
1588050432.50187,-86,7.8
1588051250.47098,-84,9.2
1588052075.43498,-91,8.8
1588052893.4032,-87,8.5
1588053711.3719,-91,7
1588054529.33885,-82,7
1588055354.31483,-86,9
1588056172.28355,-83,9.8
1588056990.25279,-84,9
1588057808.22029,-89,8
1588058626.18778,-92,9.5
1588059451.16573,-87,9.8
1588060269.13297,-81,5.8
1588061087.10155,-81,9.8
1588061904.91393,-89,8
1588573070.76298,-77,6.8
1588574606.79165,-83,8
1588576142.97208,-91,9.5
1588577679.1438,-86,9.2
1588579221.95726,-77,9
1588580757.99335,-85,7.2
1588582293.81409,-84,8.8
1588583996.51438,-81,8.5
1588585532.55594,-83,9.5
1588587068.37426,-87,9.8
1588588604.43227,-81,9.8
1588590140.57898,-81,7.2
1588591676.76049,-83,8.2
1588593212.93383,-81,8
1588594749.21942,-82,10.8
1588596285.38286,-85,7.5
1588597821.57203,-80,8.5
1588599357.74346,-80,7.8
1588600900.56505,-85,8.8
